Symbol;Name
AXIS;Axis
SHB B;Handelsbanken B
NET B;
SCA B;SCA B
AAK;AAK
ASSA;Assa Abloy
BILL;Billerud Korsnäs
BMAX;Byggmax
FIX B;Fenix Outdoor
HEMF B;Hemfosa
HEXA B;Hexagon B
LATO;Latour
LUND;Lundbergs
