Stock;Date;Number;Price;Fee;Portfolio
AXIS;06-02-06;70;56,25;9;Privat
AXIS;06-06-02;15;61,25;9;Privat
AXIS;07-04-26;1;122;9;Privat
AXIS;09-04-02;9;52,5;9;Privat
AXIS;09-05-04;6;73,75;9;Privat
AXIS;12-08-10;-15;174,5;9;Privat
HEMF B;14-06-04;48;109,5;7,88;Privat
HEMF B;14-07-04;20;114,25;7;Privat
HEMF B;14-09-30;58;112,75;9,81;Privat
BMAX;14-10-02;118;47,9;39;Fšretag
BMAX;15-02-10;53;56,5;7;Fšretag
BMAX;15-03-09;89;56;12;Fšretag
