Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
15-04-20;519;520;519,5;525;513,5;520;518,6;44149;22895217,5;805
15-04-17;518,5;519;527;527,5;512,5;518,5;520,37;42976;22363503;715
15-04-16;524;525,5;526;530;522;525,5;525,35;50543;26552714;864
15-04-15;523;525;499,3;524,5;499,1;524,5;518,3;52331;27136702,5;757
15-04-14;497,4;498,6;511,5;512;491,9;498,6;499,46;72135;36022323,4;1314
15-04-13;510,5;512;510;513;508,5;511,5;510,24;53379;27235471;753
15-04-10;509;510;511,5;513;507;510;509,87;45452;23175876,75;601
15-04-09;510,5;511,5;510;513;506,5;511,5;510,47;29686;15153892;455
15-04-08;505;505,5;504,5;510;503;505,5;506,82;39641;20091047,5;588
15-04-07;504,5;505;495,4;510,5;495,4;504,5;504,57;41898;21140596,5;673
15-04-02;492,7;493,6;490;495,5;489,9;493,6;493,39;13605;6712638,2;305
15-04-01;487,6;488,3;487,2;489,7;481,4;488;487,53;52270;25482966,5;898
15-03-31;484,5;484,8;486,3;490,2;482,7;484,5;486,77;40320;19627072,4;622
15-03-30;486,3;486,4;475;486,4;474,9;486,4;483,29;74810;36210935,45;615
15-03-27;473,5;473,8;470,2;477,5;467,2;473,8;474,74;43715;20752675,1;668
15-03-26;470,3;470,6;474,3;475,2;464,7;470,3;470,2;51973;24437482;694
15-03-25;474,3;474,4;476,6;480;468,7;474,4;474,62;56569;26848558,5;717
15-03-24;481;481,2;480,8;484,1;479;481;481,69;31184;15021146;548
15-03-23;482,3;482,4;484;484;477,8;482,4;481,35;97116;46749012,7;854
15-03-20;482,3;483,2;477,5;484;477,4;483,2;482,23;33397;16105162,2;469
15-03-19;479;479,3;478,9;485,4;476,6;479,3;480,59;38033;18278300;754
15-03-18;478,9;479,8;471;484,7;470,5;478,9;477,54;79823;38122771,2;866
15-03-17;471,1;471,5;478,1;478,6;468,5;471,1;472,4;50879;24034880,1;765
15-03-16;478,1;478,3;471;478,5;471;478,3;476,68;38009;18118039,3;619
15-03-13;471,7;472,8;469,1;473,9;469,1;472,8;471,98;57426;27100432,92;603
15-03-12;469,1;470;469,4;472,7;468;469,1;469,62;35250;16554251,3;563
15-03-11;469,2;469,4;466,9;471,9;462,6;469,2;469,41;76059;35709155,5;655
15-03-10;467;467,4;473;475;466,5;467;469,83;52786;24800467,7;705
15-03-09;471,4;471,8;468;473,6;461,3;471,4;468,12;55140;25815174,1;724
15-03-06;467,7;467,9;477;477;465,1;467,7;469,11;83194;39027173,4;918
15-03-05;473,9;474,2;467,5;477,6;467,5;474,2;473,38;61952;29327289,3;781
15-03-04;464,3;464,4;468;468;458,5;464,4;463,69;108259;50204434,95;1393
15-03-03;467,6;467,8;481,2;483,6;466,6;467,6;472,78;38231;18074994,3;666
15-03-02;479,5;481,2;483,2;485,7;475,9;481,2;480,01;34973;16787498,1;573
15-02-27;482,7;483,2;482,4;485,5;478,2;483,2;481,56;105904;50998549,35;1087
15-02-26;480,3;480,4;483;484;477,6;480,4;481,36;95722;46105870,31;950
15-02-25;483,6;484;485;486;481,4;484;483,48;35008;16925644,1;574
15-02-24;484,5;485;486,4;486,4;481,6;484,5;483,97;39184;18963544,23;568
15-02-23;485,8;486,4;485;486,8;481,3;486,4;483,98;31805;15393073,4;640
15-02-20;485,2;485,3;487,2;487,2;480,7;485,3;483,62;64809;31343053,1;933
15-02-19;487,2;487,8;485,7;489,9;482;487,2;485,46;132527;64335978,1;888
15-02-18;486,9;487;473,3;487,2;470,2;487;478,62;202896;97110600,5;1041
15-02-17;473,3;473,6;480;480;470;473,3;474,34;64374;30535086,9;947
15-02-16;480,2;481,1;478,9;481,4;475,1;480,2;478,85;66678;31928595,7;851
15-02-13;478;478,9;482,6;491;477;478;483,21;129871;62755612,05;1009
15-02-12;482;482,3;470;482,3;470;482;478,94;91681;43908804,8;1095
15-02-11;471,3;471,4;461,6;475;461,6;471,4;469,28;113840;53422835,5;1452
15-02-10;463,7;465;454,7;465;450,5;465;459,39;92854;42656337,8;1050
15-02-09;450;450,5;450;455,9;446,7;450;451,25;92213;41611522,9;1138
15-02-06;449,9;450,1;447,1;450;443,2;450;449,01;66558;29885267,4;676
15-02-05;447,5;447,9;445,1;447,9;442,5;447,9;446,23;70277;31359374,2;862
15-02-04;446,9;447;446,8;447,8;441,6;447;445,84;82736;36886800,3;965
15-02-03;446,9;447;453,5;455;439;447;447,74;60149;26931176,6;706
15-02-02;448,5;449,2;450;450,3;446,6;449,2;448,07;55590;24908019,05;841
15-01-30;449,6;449,9;450;459;448;449,9;449,65;62275;28001692,4;640
15-01-29;449,3;450;449,6;450;447;449,4;449,36;51692;23228355,5;765
15-01-28;449,7;449,8;447,1;450;446;449,8;449,28;86452;38841005;764
15-01-27;446,6;447,1;443;447;443;447;445,95;88369;39408454,1;738
15-01-26;442,9;443;446;447,5;440,4;443;443,94;58089;25790185,3;847
15-01-23;446,3;446,7;437,5;447,8;437,4;446,7;442,95;122312;54175741,05;1298
15-01-22;438;438,2;432,8;438,9;432,1;438;436,22;120763;52678426,6;1026
15-01-21;431,7;431,8;425,7;431,8;425,6;431,8;429,86;212376;91205843,75;996
15-01-20;424,5;424,6;418,2;427;418,2;424,6;423,35;114536;48365741;872
15-01-19;417,9;418;405;418;405;418;413,63;42693;17658958,4;606
15-01-16;405,3;405,8;408,7;410;402,4;405,4;406,39;43800;17799939,25;774
15-01-15;408;408,7;409,5;416,9;397,8;408,7;405,67;83629;33925756,15;1529
15-01-14;407,1;407,7;418,1;418,1;406,4;407,1;411,2;74893;30795065,52;1139
15-01-13;419,8;419,9;420,8;423,2;416,8;419,9;419,84;128365;53742467,5;660
15-01-12;419,9;420,2;422,7;424,5;416,6;420,2;420,71;50004;21037317,5;726
15-01-09;419,5;420;416,8;422,9;414,9;420;419,62;35758;15004810,8;804
15-01-08;417,8;417,9;416,9;419,5;410,6;417,9;414,83;67543;28019104,7;873
15-01-07;410,4;410,6;410;414,5;406,3;410,4;411,64;51492;21195972;792
15-01-05;414,3;415,2;415,3;419,5;413,1;415,2;415,3;15528;6448821,7;274
15-01-02;415,3;415,7;418,1;419,2;414,2;415,4;417,11;22310;9305642,4;431
14-12-30;417,1;417,5;418,7;420;415;417,5;416,84;30565;12753754,65;432
14-12-29;418,7;419;419;421,5;417;418,7;418,69;25591;10714809,9;425
14-12-23;419,3;419,7;420;422;415,2;419,4;418,48;90208;37825894;749
14-12-22;418,9;419;412,5;421;412,4;418,9;416,6;58291;24283790,3;689
14-12-19;412,5;412,9;413;413;406,3;412,5;410,64;43503;17864061;644
14-12-18;410,7;411,7;406;412,9;405,3;410,8;410,3;87657;35964756,84;541
14-12-17;402,9;403,3;397,7;403,5;397,7;403,3;400,67;48669;19500270,9;603
14-12-16;400,2;401;405;405,3;395;400,2;398,88;72062;28743638;1006
14-12-15;404,6;404,7;408;412;404,6;404,6;409,21;73294;30006963,9;895
14-12-12;408,5;409,3;409,1;413,5;405;408,5;410,82;100214;41169844,7;896
14-12-11;411,3;411,4;406,6;412;406,6;411,3;409,54;50516;20688431,7;741
14-12-10;409,5;409,6;408;413,2;408;409,5;410,96;135637;55741381,4;573
14-12-09;407,3;407,5;408,7;410;406;407,3;407,69;45949;18733394,1;659
14-12-08;408,5;408,6;407,9;410;406;408,5;408,34;21708;8864157,4;307
14-12-05;407,3;407,7;406,5;410;405,5;407,3;408,07;42946;17525097,7;686
14-12-04;401,7;401,8;409,9;409,9;400,3;401,7;403,18;41990;16927827,43;696
14-12-03;409,5;409,9;409,8;410,4;406;409,5;409,55;62611;25642158,8;481
14-12-02;408,3;408,6;408,8;412;406;408,6;408,93;33874;13851824,05;572
14-12-01;410;410,1;409,9;410,3;403,4;410;407,96;28329;11552722,9;550
14-11-28;410;410,7;411,1;411,5;408,8;410;409,9;36762;15068589;482
14-11-27;410,3;411;404;411;404;411;409,58;53805;22037397,6;531
14-11-26;404,9;405;411;411;403,6;405;406,66;28620;11638635,5;445
14-11-25;410,9;411;410;412;407,9;411;410,47;50920;20900926,9;697
14-11-24;409,5;409,8;404,5;410;402,6;409,5;406,34;54568;22173865,7;560
14-11-21;404,5;404,9;401,6;404,8;399,1;404,8;401,66;46849;18817108;489
14-11-20;401,5;402,4;402,1;406,3;398,7;402,4;400,87;40948;16414916,3;578
14-11-19;403;403,2;405,8;405,8;401,6;403;403,67;42664;17222271,8;440
14-11-18;407,2;407,3;406,5;409,2;406,5;407,3;407,33;19580;7975596,4;333
14-11-17;405,6;406,2;408;408;403,7;406,2;405,55;37786;15324273,8;568
14-11-14;407,9;408;413,5;413,5;406,2;407,9;409,23;40869;16724858,4;603
14-11-13;411,6;412,2;407,8;416,1;407,1;411,6;412,45;47291;19505354;954
14-11-12;406;406,4;409,1;409,9;406;406;406,48;55837;22696419,35;712
14-11-11;407,6;408;409,3;411,4;406,2;408;408,38;44571;18201968,2;512
14-11-10;406,1;406,2;407,4;410;403,5;406,1;407,11;60887;24787717;877
14-11-07;405,5;406;409,5;409,5;402;406;404,1;72406;29259342,35;827
14-11-06;406,5;406,7;402,8;408;398,7;406,7;404,52;45037;18217687,6;654
14-11-05;402,6;402,8;401,1;404;401,1;402,8;402,21;49862;20055307,9;648
14-11-04;400,6;401;396,5;403;395,5;400,7;399,04;49270;19660544,4;855
14-11-03;396;396,9;401;401;396;396;398,19;42621;16971371,4;656
