Stock;Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
AAK;15-04-20;519;520;519,5;525;513,5;520;518,6;44149;22895217,5;805
AAK;15-04-17;518,5;519;527;527,5;512,5;518,5;520,37;42976;22363503;715
AAK;15-04-16;524;525,5;526;530;522;525,5;525,35;50543;26552714;864
AAK;15-04-15;523;525;499,3;524,5;499,1;524,5;518,3;52331;27136702,5;757
AAK;15-04-14;497,4;498,6;511,5;512;491,9;498,6;499,46;72135;36022323,4;1314
AAK;15-04-13;510,5;512;510;513;508,5;511,5;510,24;53379;27235471;753
AAK;15-04-10;509;510;511,5;513;507;510;509,87;45452;23175876,75;601
AAK;15-04-09;510,5;511,5;510;513;506,5;511,5;510,47;29686;15153892;455
AAK;15-04-08;505;505,5;504,5;510;503;505,5;506,82;39641;20091047,5;588
AAK;15-04-07;504,5;505;495,4;510,5;495,4;504,5;504,57;41898;21140596,5;673
AAK;15-04-02;492,7;493,6;490;495,5;489,9;493,6;493,39;13605;6712638,2;305
AAK;15-04-01;487,6;488,3;487,2;489,7;481,4;488;487,53;52270;25482966,5;898
AAK;15-03-31;484,5;484,8;486,3;490,2;482,7;484,5;486,77;40320;19627072,4;622
AAK;15-03-30;486,3;486,4;475;486,4;474,9;486,4;483,29;74810;36210935,45;615
AAK;15-03-27;473,5;473,8;470,2;477,5;467,2;473,8;474,74;43715;20752675,1;668
AAK;15-03-26;470,3;470,6;474,3;475,2;464,7;470,3;470,2;51973;24437482;694
AAK;15-03-25;474,3;474,4;476,6;480;468,7;474,4;474,62;56569;26848558,5;717
AAK;15-03-24;481;481,2;480,8;484,1;479;481;481,69;31184;15021146;548
AAK;15-03-23;482,3;482,4;484;484;477,8;482,4;481,35;97116;46749012,7;854
AAK;15-03-20;482,3;483,2;477,5;484;477,4;483,2;482,23;33397;16105162,2;469
AAK;15-03-19;479;479,3;478,9;485,4;476,6;479,3;480,59;38033;18278300;754
AAK;15-03-18;478,9;479,8;471;484,7;470,5;478,9;477,54;79823;38122771,2;866
AAK;15-03-17;471,1;471,5;478,1;478,6;468,5;471,1;472,4;50879;24034880,1;765
AAK;15-03-16;478,1;478,3;471;478,5;471;478,3;476,68;38009;18118039,3;619
AAK;15-03-13;471,7;472,8;469,1;473,9;469,1;472,8;471,98;57426;27100432,92;603
AAK;15-03-12;469,1;470;469,4;472,7;468;469,1;469,62;35250;16554251,3;563
AAK;15-03-11;469,2;469,4;466,9;471,9;462,6;469,2;469,41;76059;35709155,5;655
AAK;15-03-10;467;467,4;473;475;466,5;467;469,83;52786;24800467,7;705
AAK;15-03-09;471,4;471,8;468;473,6;461,3;471,4;468,12;55140;25815174,1;724
AAK;15-03-06;467,7;467,9;477;477;465,1;467,7;469,11;83194;39027173,4;918
AAK;15-03-05;473,9;474,2;467,5;477,6;467,5;474,2;473,38;61952;29327289,3;781
AAK;15-03-04;464,3;464,4;468;468;458,5;464,4;463,69;108259;50204434,95;1393
AAK;15-03-03;467,6;467,8;481,2;483,6;466,6;467,6;472,78;38231;18074994,3;666
AAK;15-03-02;479,5;481,2;483,2;485,7;475,9;481,2;480,01;34973;16787498,1;573
AAK;15-02-27;482,7;483,2;482,4;485,5;478,2;483,2;481,56;105904;50998549,35;1087
AAK;15-02-26;480,3;480,4;483;484;477,6;480,4;481,36;95722;46105870,31;950
AAK;15-02-25;483,6;484;485;486;481,4;484;483,48;35008;16925644,1;574
AAK;15-02-24;484,5;485;486,4;486,4;481,6;484,5;483,97;39184;18963544,23;568
AAK;15-02-23;485,8;486,4;485;486,8;481,3;486,4;483,98;31805;15393073,4;640
AAK;15-02-20;485,2;485,3;487,2;487,2;480,7;485,3;483,62;64809;31343053,1;933
AAK;15-02-19;487,2;487,8;485,7;489,9;482;487,2;485,46;132527;64335978,1;888
AAK;15-02-18;486,9;487;473,3;487,2;470,2;487;478,62;202896;97110600,5;1041
AAK;15-02-17;473,3;473,6;480;480;470;473,3;474,34;64374;30535086,9;947
AAK;15-02-16;480,2;481,1;478,9;481,4;475,1;480,2;478,85;66678;31928595,7;851
AAK;15-02-13;478;478,9;482,6;491;477;478;483,21;129871;62755612,05;1009
AAK;15-02-12;482;482,3;470;482,3;470;482;478,94;91681;43908804,8;1095
AAK;15-02-11;471,3;471,4;461,6;475;461,6;471,4;469,28;113840;53422835,5;1452
AAK;15-02-10;463,7;465;454,7;465;450,5;465;459,39;92854;42656337,8;1050
AAK;15-02-09;450;450,5;450;455,9;446,7;450;451,25;92213;41611522,9;1138
AAK;15-02-06;449,9;450,1;447,1;450;443,2;450;449,01;66558;29885267,4;676
AAK;15-02-05;447,5;447,9;445,1;447,9;442,5;447,9;446,23;70277;31359374,2;862
AAK;15-02-04;446,9;447;446,8;447,8;441,6;447;445,84;82736;36886800,3;965
AAK;15-02-03;446,9;447;453,5;455;439;447;447,74;60149;26931176,6;706
AAK;15-02-02;448,5;449,2;450;450,3;446,6;449,2;448,07;55590;24908019,05;841
AAK;15-01-30;449,6;449,9;450;459;448;449,9;449,65;62275;28001692,4;640
AAK;15-01-29;449,3;450;449,6;450;447;449,4;449,36;51692;23228355,5;765
AAK;15-01-28;449,7;449,8;447,1;450;446;449,8;449,28;86452;38841005;764
AAK;15-01-27;446,6;447,1;443;447;443;447;445,95;88369;39408454,1;738
AAK;15-01-26;442,9;443;446;447,5;440,4;443;443,94;58089;25790185,3;847
AAK;15-01-23;446,3;446,7;437,5;447,8;437,4;446,7;442,95;122312;54175741,05;1298
AAK;15-01-22;438;438,2;432,8;438,9;432,1;438;436,22;120763;52678426,6;1026
AAK;15-01-21;431,7;431,8;425,7;431,8;425,6;431,8;429,86;212376;91205843,75;996
AAK;15-01-20;424,5;424,6;418,2;427;418,2;424,6;423,35;114536;48365741;872
AAK;15-01-19;417,9;418;405;418;405;418;413,63;42693;17658958,4;606
